"Shoe","Coup","Player card 1","Player card 2","Player card 3","Banker card 1","Banker card 2","Banker card 3","Player total","Banker total","Winner","Pair outcome"
4,284,"K","10",NA,"Q","8",NA,"0","8","Banker","No pair"
4,285,"8","9",NA,"3","Q","4","7","7","Tie","No pair"
4,286,"10","6",NA,"J","J","5","6","5","Player","Banker pair"
4,287,"2","7",NA,"10","7",NA,"9","7","Player","No pair"
4,288,"3","10",NA,"2","7",NA,"3","9","Banker","No pair"
4,289,"4","Q","5","2","K","9","9","1","Player","No pair"
4,290,"Q","7",NA,"8","10",NA,"7","8","Banker","No pair"
4,291,"7","3","8","5","8",NA,"8","3","Player","No pair"
4,292,"10","8",NA,"A","Q",NA,"8","1","Player","No pair"
4,293,"3","A","A","2","5",NA,"5","7","Banker","No pair"
4,294,"8","8",NA,"9","K",NA,"6","9","Banker","Player pair"
4,295,"3","8","Q","J","K","Q","1","0","Player","No pair"
4,296,"10","2",NA,"4","4",NA,"2","8","Banker","Banker pair"
4,297,"A","2","2","3","Q","K","5","3","Player","No pair"
4,298,"8","2",NA,"5","4",NA,"0","9","Banker","No pair"
4,299,"3","2","A","6","9",NA,"6","5","Player","No pair"
4,300,"Q","6",NA,"A","7",NA,"6","8","Banker","No pair"
4,301,"K","6",NA,"8","2","5","6","5","Player","No pair"
4,302,"J","10",NA,"5","4",NA,"0","9","Banker","No pair"
4,303,"J","9",NA,"3","A",NA,"9","4","Player","No pair"
4,304,"8","8",NA,"6","6","2","6","4","Player","Player and banker pair"
4,305,"J","4",NA,"7","2",NA,"4","9","Banker","No pair"
4,306,"3","6",NA,"5","7",NA,"9","2","Player","No pair"
4,307,"7","6",NA,"5","4",NA,"3","9","Banker","No pair"
4,308,"5","A",NA,"9","7",NA,"6","6","Tie","No pair"
4,309,"10","Q","6","7","J",NA,"6","7","Banker","No pair"
4,310,"9","A","7","Q","3","4","7","7","Tie","No pair"
4,311,"J","6",NA,"10","8",NA,"6","8","Banker","No pair"
4,312,"Q","A","8","4","8","K","9","2","Player","No pair"
4,313,"8","4",NA,"7","A",NA,"2","8","Banker","No pair"
4,314,"7","5","J","A","9","2","2","2","Tie","No pair"
4,315,"7","5",NA,"5","3",NA,"2","8","Banker","No pair"
4,316,"4","2",NA,"10","3","10","6","3","Player","No pair"
4,317,"4","3",NA,"K","7",NA,"7","7","Tie","No pair"
4,318,"2","10","5","3","4",NA,"7","7","Tie","No pair"
4,319,"9","7",NA,"Q","8",NA,"6","8","Banker","No pair"
4,320,"6","6","9","10","Q","7","1","7","Banker","Player pair"
4,321,"5","J","6","5","7","K","1","2","Banker","No pair"
4,322,"6","2",NA,"9","2",NA,"8","1","Player","No pair"
4,323,"K","3","4","9","3","9","7","1","Player","No pair"
4,324,"2","K","9","10","6",NA,"1","6","Banker","No pair"
4,325,"7","J",NA,"6","5","3","7","4","Player","No pair"
4,326,"10","10","10","4","2",NA,"0","6","Banker","Player pair"
4,327,"A","2","10","K","6",NA,"3","6","Banker","No pair"
4,328,"Q","9",NA,"J","7",NA,"9","7","Player","No pair"
4,329,"7","5","10","K","6",NA,"2","6","Banker","No pair"
4,330,"J","J","Q","10","Q","5","0","5","Banker","Player pair"
4,331,"10","5","K","7","Q",NA,"5","7","Banker","No pair"
4,332,"6","Q",NA,"4","J","5","6","9","Banker","No pair"
4,333,"2","5",NA,"10","6",NA,"7","6","Player","No pair"
4,334,"Q","K",NA,"10","9",NA,"0","9","Banker","No pair"
4,335,"3","K","4","3","8","8","7","9","Banker","No pair"
4,336,"A","5",NA,"A","9","Q","6","0","Player","No pair"
5,337,"4","Q","J","10","5",NA,"4","5","Banker","No pair"
5,338,"A","3","K","J","2","10","4","2","Player","No pair"
5,339,"5","A",NA,"5","2",NA,"6","7","Banker","No pair"
5,340,"5","10","Q","8","8",NA,"5","6","Banker","Banker pair"
